Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
Alsea,Chinook salmon,Escapement,2017,1991,1988,3,2615,NA,NA,NA,NA,NA
,,,NA,1992,1988,4,7782,NA,NA,NA,NA,NA
,,,NA,1993,1988,5,2536,NA,NA,NA,NA,NA
,,,NA,1994,1988,6,170,NA,NA,NA,NA,NA
,,,NA,1992,1989,3,1674,NA,NA,NA,NA,NA
,,,NA,1993,1989,4,845,NA,NA,NA,NA,NA
,,,NA,1994,1989,5,1498,NA,NA,NA,NA,NA
,,,NA,1995,1989,6,240,NA,NA,NA,NA,NA
,,,NA,1993,1990,3,774,NA,NA,NA,NA,NA
,,,NA,1994,1990,4,5876,NA,NA,NA,NA,NA
,,,NA,1995,1990,5,8449,NA,NA,NA,NA,NA
,,,NA,1996,1990,6,384,NA,NA,NA,NA,NA
,,,NA,1994,1991,3,232,NA,NA,NA,NA,NA
,,,NA,1995,1991,4,2696,NA,NA,NA,NA,NA
,,,NA,1996,1991,5,3649,NA,NA,NA,NA,NA
,,,NA,1997,1991,6,20,NA,NA,NA,NA,NA
,,,NA,1995,1992,3,4973,NA,NA,NA,NA,NA
,,,NA,1996,1992,4,14021,NA,NA,NA,NA,NA
,,,NA,1997,1992,5,5038,NA,NA,NA,NA,NA
,,,NA,1998,1992,6,1079,NA,NA,NA,NA,NA
,,,NA,1996,1993,3,3361,NA,NA,NA,NA,NA
,,,NA,1997,1993,4,2781,NA,NA,NA,NA,NA
,,,NA,1998,1993,5,5162,NA,NA,NA,NA,NA
,,,NA,1999,1993,6,351,NA,NA,NA,NA,NA
,,,NA,1997,1994,3,1290,NA,NA,NA,NA,NA
,,,NA,1998,1994,4,5779,NA,NA,NA,NA,NA
,,,NA,1999,1994,5,4669,NA,NA,NA,NA,NA
,,,NA,2000,1994,6,296,NA,NA,NA,NA,NA
,,,NA,1998,1995,3,2003,NA,NA,NA,NA,NA
,,,NA,1999,1995,4,14057,NA,NA,NA,NA,NA
,,,NA,2000,1995,5,4303,NA,NA,NA,NA,NA
,,,NA,2001,1995,6,167,NA,NA,NA,NA,NA
,,,NA,1999,1996,3,1229,NA,NA,NA,NA,NA
,,,NA,2000,1996,4,7012,NA,NA,NA,NA,NA
,,,NA,2001,1996,5,3429,NA,NA,NA,NA,NA
,,,NA,2002,1996,6,44,NA,NA,NA,NA,NA
,,,NA,2000,1997,3,6232,NA,NA,NA,NA,NA
,,,NA,2001,1997,4,18806,NA,NA,NA,NA,NA
,,,NA,2002,1997,5,7171,NA,NA,NA,NA,NA
,,,NA,2003,1997,6,398,NA,NA,NA,NA,NA
,,,NA,2001,1998,3,8143,NA,NA,NA,NA,NA
,,,NA,2002,1998,4,15215,NA,NA,NA,NA,NA
,,,NA,2003,1998,5,8842,NA,NA,NA,NA,NA
,,,NA,2004,1998,6,420,NA,NA,NA,NA,NA
,,,NA,2002,1999,3,19292,NA,NA,NA,NA,NA
,,,NA,2003,1999,4,30410,NA,NA,NA,NA,NA
,,,NA,2004,1999,5,19288,NA,NA,NA,NA,NA
,,,NA,2005,1999,6,1784,NA,NA,NA,NA,NA
,,,NA,2003,2000,3,4328,NA,NA,NA,NA,NA
,,,NA,2004,2000,4,10931,NA,NA,NA,NA,NA
,,,NA,2005,2000,5,7335,NA,NA,NA,NA,NA
,,,NA,2006,2000,6,413,NA,NA,NA,NA,NA
,,,NA,2004,2001,3,4558,NA,NA,NA,NA,NA
,,,NA,2005,2001,4,9544,NA,NA,NA,NA,NA
,,,NA,2006,2001,5,3226,NA,NA,NA,NA,NA
,,,NA,2007,2001,6,352,NA,NA,NA,NA,NA
,,,NA,2005,2002,3,3002,NA,NA,NA,NA,NA
,,,NA,2006,2002,4,4259,NA,NA,NA,NA,NA
,,,NA,2007,2002,5,2084,NA,NA,NA,NA,NA
,,,NA,2008,2002,6,1195,NA,NA,NA,NA,NA
,,,NA,2006,2003,3,439,NA,NA,NA,NA,NA
,,,NA,2007,2003,4,3474,NA,NA,NA,NA,NA
,,,NA,2008,2003,5,1285,NA,NA,NA,NA,NA
,,,NA,2009,2003,6,374,NA,NA,NA,NA,NA
,,,NA,2007,2004,3,1604,NA,NA,NA,NA,NA
,,,NA,2008,2004,4,1193,NA,NA,NA,NA,NA
,,,NA,2009,2004,5,1744,NA,NA,NA,NA,NA
,,,NA,2010,2004,6,60,NA,NA,NA,NA,NA
,,,NA,2008,2005,3,643,NA,NA,NA,NA,NA
,,,NA,2009,2005,4,5482,NA,NA,NA,NA,NA
,,,NA,2010,2005,5,1674,NA,NA,NA,NA,NA
,,,NA,2011,2005,6,47,NA,NA,NA,NA,NA
,,,NA,2009,2006,3,6354,NA,NA,NA,NA,NA
,,,NA,2010,2006,4,13151,NA,NA,NA,NA,NA
,,,NA,2011,2006,5,6337,NA,NA,NA,NA,NA
,,,NA,2012,2006,6,294,NA,NA,NA,NA,NA
,,,NA,2010,2007,3,5021,NA,NA,NA,NA,NA
,,,NA,2011,2007,4,13367,NA,NA,NA,NA,NA
,,,NA,2012,2007,5,10285,NA,NA,NA,NA,NA
,,,NA,2013,2007,6,357,NA,NA,NA,NA,NA
,,,NA,2011,2008,3,5105,NA,NA,NA,NA,NA
,,,NA,2012,2008,4,12174,NA,NA,NA,NA,NA
,,,NA,2013,2008,5,4592,NA,NA,NA,NA,NA
,,,NA,2014,2008,6,269,NA,NA,NA,NA,NA
,,,NA,2012,2009,3,5331,NA,NA,NA,NA,NA
,,,NA,2013,2009,4,13149,NA,NA,NA,NA,NA
,,,NA,2014,2009,5,6179,NA,NA,NA,NA,NA
,,,NA,2015,2009,6,1763,NA,NA,NA,NA,NA
,,,NA,2013,2010,3,6059,NA,NA,NA,NA,NA
,,,NA,2014,2010,4,14258,NA,NA,NA,NA,NA
,,,NA,2015,2010,5,10355,NA,NA,NA,NA,NA
,,,NA,2016,2010,6,247,NA,NA,NA,NA,NA
,,,NA,2014,2011,3,3950,NA,NA,NA,NA,NA
,,,NA,2015,2011,4,17088,NA,NA,NA,NA,NA
,,,NA,2016,2011,5,3624,NA,NA,NA,NA,NA
,,,NA,2015,2012,3,7233,NA,NA,NA,NA,NA
,,,NA,2016,2012,4,13140,NA,NA,NA,NA,NA
,,,NA,2016,2013,3,2615,NA,NA,NA,NA,NA
