Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
Nehalem,Chinook salmon,Escapement,2017,1991,1988,3,634,NA,NA,NA,NA,NA
,,,NA,1992,1988,4,3473,NA,NA,NA,NA,NA
,,,NA,1993,1988,5,3054,NA,NA,NA,NA,NA
,,,NA,1994,1988,6,275,NA,NA,NA,NA,NA
,,,NA,1992,1989,3,992,NA,NA,NA,NA,NA
,,,NA,1993,1989,4,1617,NA,NA,NA,NA,NA
,,,NA,1994,1989,5,3359,NA,NA,NA,NA,NA
,,,NA,1995,1989,6,200,NA,NA,NA,NA,NA
,,,NA,1993,1990,3,491,NA,NA,NA,NA,NA
,,,NA,1994,1990,4,2789,NA,NA,NA,NA,NA
,,,NA,1995,1990,5,3649,NA,NA,NA,NA,NA
,,,NA,1996,1990,6,799,NA,NA,NA,NA,NA
,,,NA,1994,1991,3,63,NA,NA,NA,NA,NA
,,,NA,1995,1991,4,443,NA,NA,NA,NA,NA
,,,NA,1996,1991,5,1891,NA,NA,NA,NA,NA
,,,NA,1997,1991,6,84,NA,NA,NA,NA,NA
,,,NA,1995,1992,3,898,NA,NA,NA,NA,NA
,,,NA,1996,1992,4,5802,NA,NA,NA,NA,NA
,,,NA,1997,1992,5,7145,NA,NA,NA,NA,NA
,,,NA,1998,1992,6,948,NA,NA,NA,NA,NA
,,,NA,1996,1993,3,719,NA,NA,NA,NA,NA
,,,NA,1997,1993,4,2185,NA,NA,NA,NA,NA
,,,NA,1998,1993,5,2902,NA,NA,NA,NA,NA
,,,NA,1999,1993,6,270,NA,NA,NA,NA,NA
,,,NA,1997,1994,3,613,NA,NA,NA,NA,NA
,,,NA,1998,1994,4,3916,NA,NA,NA,NA,NA
,,,NA,1999,1994,5,4786,NA,NA,NA,NA,NA
,,,NA,2000,1994,6,243,NA,NA,NA,NA,NA
,,,NA,1998,1995,3,479,NA,NA,NA,NA,NA
,,,NA,1999,1995,4,2521,NA,NA,NA,NA,NA
,,,NA,2000,1995,5,2467,NA,NA,NA,NA,NA
,,,NA,2001,1995,6,46,NA,NA,NA,NA,NA
,,,NA,1999,1996,3,456,NA,NA,NA,NA,NA
,,,NA,2000,1996,4,2556,NA,NA,NA,NA,NA
,,,NA,2001,1996,5,2113,NA,NA,NA,NA,NA
,,,NA,2002,1996,6,59,NA,NA,NA,NA,NA
,,,NA,2000,1997,3,1587,NA,NA,NA,NA,NA
,,,NA,2001,1997,4,7372,NA,NA,NA,NA,NA
,,,NA,2002,1997,5,6137,NA,NA,NA,NA,NA
,,,NA,2003,1997,6,153,NA,NA,NA,NA,NA
,,,NA,2001,1998,3,2130,NA,NA,NA,NA,NA
,,,NA,2002,1998,4,7488,NA,NA,NA,NA,NA
,,,NA,2003,1998,5,4108,NA,NA,NA,NA,NA
,,,NA,2004,1998,6,368,NA,NA,NA,NA,NA
,,,NA,2002,1999,3,4404,NA,NA,NA,NA,NA
,,,NA,2003,1999,4,5574,NA,NA,NA,NA,NA
,,,NA,2004,1999,5,5908,NA,NA,NA,NA,NA
,,,NA,2005,1999,6,1183,NA,NA,NA,NA,NA
,,,NA,2003,2000,3,1069,NA,NA,NA,NA,NA
,,,NA,2004,2000,4,2731,NA,NA,NA,NA,NA
,,,NA,2005,2000,5,3734,NA,NA,NA,NA,NA
,,,NA,2006,2000,6,832,NA,NA,NA,NA,NA
,,,NA,2004,2001,3,965,NA,NA,NA,NA,NA
,,,NA,2005,2001,4,2577,NA,NA,NA,NA,NA
,,,NA,2006,2001,5,2229,NA,NA,NA,NA,NA
,,,NA,2007,2001,6,508,NA,NA,NA,NA,NA
,,,NA,2005,2002,3,619,NA,NA,NA,NA,NA
,,,NA,2006,2002,4,1586,NA,NA,NA,NA,NA
,,,NA,2007,2002,5,3225,NA,NA,NA,NA,NA
,,,NA,2008,2002,6,776,NA,NA,NA,NA,NA
,,,NA,2006,2003,3,45,NA,NA,NA,NA,NA
,,,NA,2007,2003,4,507,NA,NA,NA,NA,NA
,,,NA,2008,2003,5,1526,NA,NA,NA,NA,NA
,,,NA,2009,2003,6,39,NA,NA,NA,NA,NA
,,,NA,2007,2004,3,64,NA,NA,NA,NA,NA
,,,NA,2008,2004,4,1104,NA,NA,NA,NA,NA
,,,NA,2009,2004,5,1324,NA,NA,NA,NA,NA
,,,NA,2010,2004,6,48,NA,NA,NA,NA,NA
,,,NA,2008,2005,3,390,NA,NA,NA,NA,NA
,,,NA,2009,2005,4,2938,NA,NA,NA,NA,NA
,,,NA,2010,2005,5,1821,NA,NA,NA,NA,NA
,,,NA,2011,2005,6,124,NA,NA,NA,NA,NA
,,,NA,2009,2006,3,1090,NA,NA,NA,NA,NA
,,,NA,2010,2006,4,2047,NA,NA,NA,NA,NA
,,,NA,2011,2006,5,1806,NA,NA,NA,NA,NA
,,,NA,2012,2006,6,61,NA,NA,NA,NA,NA
,,,NA,2010,2007,3,1468,NA,NA,NA,NA,NA
,,,NA,2011,2007,4,4337,NA,NA,NA,NA,NA
,,,NA,2012,2007,5,3259,NA,NA,NA,NA,NA
,,,NA,2013,2007,6,306,NA,NA,NA,NA,NA
,,,NA,2011,2008,3,1398,NA,NA,NA,NA,NA
,,,NA,2012,2008,4,1944,NA,NA,NA,NA,NA
,,,NA,2013,2008,5,2622,NA,NA,NA,NA,NA
,,,NA,2014,2008,6,44,NA,NA,NA,NA,NA
,,,NA,2012,2009,3,2251,NA,NA,NA,NA,NA
