Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
GSH,Chinook salmon,Terminal Run,2017,1995,1993,2,NA,NA,5293,NA,NA,NA
,,,NA,1996,1993,3,NA,NA,9050,NA,NA,NA
,,,NA,1997,1993,4,NA,NA,10143,NA,NA,NA
,,,NA,1998,1993,5,NA,NA,563,NA,NA,NA
,,,NA,1996,1994,2,NA,NA,1939,NA,NA,NA
,,,NA,1997,1994,3,NA,NA,19276,NA,NA,NA
,,,NA,1998,1994,4,NA,NA,10533,NA,NA,NA
,,,NA,1999,1994,5,NA,NA,817,NA,NA,NA
,,,NA,1997,1995,2,NA,NA,1029,NA,NA,NA
,,,NA,1998,1995,3,NA,NA,10004,NA,NA,NA
,,,NA,1999,1995,4,NA,NA,7804,NA,NA,NA
,,,NA,2000,1995,5,NA,NA,680,NA,NA,NA
,,,NA,1998,1996,2,NA,NA,1767,NA,NA,NA
,,,NA,1999,1996,3,NA,NA,14394,NA,NA,NA
,,,NA,2000,1996,4,NA,NA,11375,NA,NA,NA
,,,NA,2001,1996,5,NA,NA,480,NA,NA,NA
,,,NA,1999,1997,2,NA,NA,2673,NA,NA,NA
,,,NA,2000,1997,3,NA,NA,9267,NA,NA,NA
,,,NA,2001,1997,4,NA,NA,12659,NA,NA,NA
,,,NA,2002,1997,5,NA,NA,1258,NA,NA,NA
,,,NA,2000,1998,2,NA,NA,1804,NA,NA,NA
,,,NA,2001,1998,3,NA,NA,16494,NA,NA,NA
,,,NA,2002,1998,4,NA,NA,9267,NA,NA,NA
,,,NA,2003,1998,5,NA,NA,1032,NA,NA,NA
,,,NA,2001,1999,2,NA,NA,5320,NA,NA,NA
,,,NA,2002,1999,3,NA,NA,11539,NA,NA,NA
,,,NA,2003,1999,4,NA,NA,14187,NA,NA,NA
,,,NA,2004,1999,5,NA,NA,3336,NA,NA,NA
,,,NA,2002,2000,2,NA,NA,1420,NA,NA,NA
,,,NA,2003,2000,3,NA,NA,6277,NA,NA,NA
,,,NA,2004,2000,4,NA,NA,6819,NA,NA,NA
,,,NA,2005,2000,5,NA,NA,734,NA,NA,NA
,,,NA,2003,2001,2,NA,NA,1675,NA,NA,NA
,,,NA,2004,2001,3,NA,NA,10697,NA,NA,NA
,,,NA,2005,2001,4,NA,NA,14255,NA,NA,NA
,,,NA,2006,2001,5,NA,NA,1282,NA,NA,NA
,,,NA,2004,2002,2,NA,NA,1820,NA,NA,NA
,,,NA,2005,2002,3,NA,NA,10952,NA,NA,NA
,,,NA,2006,2002,4,NA,NA,7495,NA,NA,NA
,,,NA,2007,2002,5,NA,NA,247,NA,NA,NA
,,,NA,2005,2003,2,NA,NA,4145,NA,NA,NA
,,,NA,2006,2003,3,NA,NA,13332,NA,NA,NA
,,,NA,2007,2003,4,NA,NA,10632,NA,NA,NA
,,,NA,2008,2003,5,NA,NA,1532,NA,NA,NA
,,,NA,2006,2004,2,NA,NA,2477,NA,NA,NA
,,,NA,2007,2004,3,NA,NA,1854,NA,NA,NA
,,,NA,2008,2004,4,NA,NA,2079,NA,NA,NA
,,,NA,2009,2004,5,NA,NA,254,NA,NA,NA
,,,NA,2007,2005,2,NA,NA,4941,NA,NA,NA
,,,NA,2008,2005,3,NA,NA,8400,NA,NA,NA
,,,NA,2009,2005,4,NA,NA,10918,NA,NA,NA
,,,NA,2010,2005,5,NA,NA,765,NA,NA,NA
,,,NA,2008,2006,2,NA,NA,1338,NA,NA,NA
,,,NA,2009,2006,3,NA,NA,2208,NA,NA,NA
,,,NA,2010,2006,4,NA,NA,5679,NA,NA,NA
,,,NA,2011,2006,5,NA,NA,526,NA,NA,NA
,,,NA,2009,2007,2,NA,NA,2933,NA,NA,NA
,,,NA,2010,2007,3,NA,NA,5161,NA,NA,NA
,,,NA,2011,2007,4,NA,NA,5477,NA,NA,NA
,,,NA,2012,2007,5,NA,NA,406,NA,NA,NA
,,,NA,2010,2008,2,NA,NA,1082,NA,NA,NA
,,,NA,2011,2008,3,NA,NA,5477,NA,NA,NA
,,,NA,2012,2008,4,NA,NA,4509,NA,NA,NA
,,,NA,2013,2008,5,NA,NA,400,NA,NA,NA
,,,NA,2011,2009,2,NA,NA,1975,NA,NA,NA
,,,NA,2012,2009,3,NA,NA,3547,NA,NA,NA
,,,NA,2013,2009,4,NA,NA,3812,NA,NA,NA
,,,NA,2014,2009,5,NA,NA,188,NA,NA,NA
,,,NA,2012,2010,2,NA,NA,1250,NA,NA,NA
,,,NA,2013,2010,3,NA,NA,4030,NA,NA,NA
,,,NA,2014,2010,4,NA,NA,3744,NA,NA,NA
,,,NA,2015,2010,5,NA,NA,188,NA,NA,NA
,,,NA,2013,2011,2,NA,NA,3549,NA,NA,NA
,,,NA,2014,2011,3,NA,NA,11733,NA,NA,NA
,,,NA,2015,2011,4,NA,NA,6821,NA,NA,NA
,,,NA,2016,2011,5,NA,NA,1042,NA,NA,NA
,,,NA,2014,2012,2,NA,NA,531,NA,NA,NA
,,,NA,2015,2012,3,NA,NA,2879,NA,NA,NA
,,,NA,2016,2012,4,NA,NA,5884,NA,NA,NA
,,,NA,2015,2013,2,NA,NA,590,NA,NA,NA
,,,NA,2016,2013,3,NA,NA,3310,NA,NA,NA
,,,NA,2016,2014,2,NA,NA,3085,NA,NA,NA
